danceability_bin,energy_bin,valence_bin,acousticness_bin,tempo_bin,popularity
1,9,0,4,2,32.0
1,9,0,4,3,35.0
1,9,0,4,4,35.666666666666664
1,9,0,4,5,41.5
1,9,0,4,6,0.0
1,9,0,5,3,42.0
1,9,0,5,4,32.0
1,9,0,5,5,32.0
1,9,0,6,2,33.0
1,9,0,6,4,35.0
1,9,0,6,5,32.0
1,9,0,7,2,35.0
1,9,0,7,3,39.0
1,9,0,7,4,37.0
1,9,0,7,5,33.5
1,9,0,8,3,32.0
1,9,0,8,4,37.666666666666664
1,9,0,8,5,35.333333333333336
1,9,0,9,2,36.0
1,9,0,9,3,8.25
1,9,0,9,4,40.0
1,9,0,9,5,35.0
1,9,0,9,8,32.0
1,9,1,0,2,15.5
1,9,1,0,3,28.5625
1,9,1,0,4,25.58823529411765
1,9,1,0,5,22.2
1,9,1,0,6,20.90909090909091
1,9,1,0,7,21.347826086956523
1,9,1,0,8,48.625
1,9,1,4,5,19.0
1,9,2,0,3,28.266666666666666
1,9,2,0,4,21.75
1,9,2,0,5,35.166666666666664
1,9,2,0,6,26.17391304347826
1,9,2,0,7,25.63157894736842
1,9,2,0,8,50.0
1,9,2,3,2,0.0
1,9,3,0,2,39.333333333333336
1,9,3,0,3,37.0
1,9,3,0,4,39.666666666666664
1,9,3,0,5,18.0
1,9,3,0,6,35.214285714285715
1,9,3,0,7,24.041666666666668
1,9,3,0,8,49.5
1,9,4,0,3,22.0
1,9,4,0,5,14.0
1,9,4,0,6,26.25
1,9,4,0,7,31.22222222222222
1,9,4,0,8,36.75
1,9,5,0,4,20.0
1,9,5,0,6,25.0
1,9,5,0,7,24.11764705882353
1,9,5,0,8,26.0
1,9,6,0,4,15.0
1,9,6,0,6,38.0
1,9,6,0,7,29.0
1,9,6,0,8,52.0
1,9,6,8,6,23.0
1,9,7,0,6,25.5
1,9,7,0,7,25.0
1,9,7,0,8,46.0
1,9,8,0,8,23.0
1,9,9,0,8,28.0
2,0,0,0,3,26.0
2,0,0,0,5,34.0
2,0,0,1,1,35.0
2,0,0,1,2,72.0
2,0,0,1,3,31.0
2,0,0,4,3,21.0
2,0,0,4,4,60.0
2,0,0,4,5,5.0
2,0,0,5,2,21.0
2,0,0,5,4,22.0
2,0,0,6,5,21.5
2,0,0,7,3,15.0
2,0,0,7,4,13.5
2,0,0,7,5,10.0
2,0,0,8,2,36.55555555555556
2,0,0,8,3,38.111111111111114
2,0,0,8,4,15.5
2,0,0,8,5,31.0
2,0,0,8,6,0.0
2,0,0,9,1,40.5
2,0,0,9,2,32.0
2,0,0,9,3,24.523255813953487
2,0,0,9,4,25.78787878787879
2,0,0,9,5,25.76923076923077
2,0,0,9,6,30.444444444444443
2,0,0,9,7,29.0
2,0,1,4,4,11.0
2,0,1,6,2,9.0
2,0,1,7,2,28.0
2,0,1,7,3,41.0
2,0,1,7,4,58.0
2,0,1,7,5,38.0
2,0,1,7,6,0.0
2,0,1,8,2,37.333333333333336
2,0,1,8,3,26.0
2,0,1,8,4,35.0
2,0,1,8,7,25.0
2,0,1,9,1,0.0
2,0,1,9,2,37.74193548387097
2,0,1,9,3,26.94
2,0,1,9,4,34.888888888888886
2,0,1,9,5,44.3125
2,0,1,9,6,29.727272727272727
2,0,1,9,7,37.285714285714285
2,0,1,9,8,61.5
2,0,2,6,7,0.0
2,0,2,8,3,1.0
2,0,2,8,7,41.0
2,0,2,9,2,34.63636363636363
2,0,2,9,3,17.583333333333332
2,0,2,9,4,52.666666666666664
2,0,2,9,5,37.875
2,0,2,9,6,32.5
2,0,2,9,7,11.5
2,0,3,8,3,7.0
2,0,3,9,3,6.666666666666667
2,0,3,9,4,17.0
2,0,3,9,5,50.0
2,0,3,9,7,13.5
2,0,3,9,8,52.0
2,0,4,9,2,39.666666666666664
2,0,4,9,3,40.0
2,0,4,9,4,19.666666666666668
2,0,4,9,6,51.0
2,0,5,9,3,13.5
2,0,5,9,7,61.0
2,0,6,9,3,0.0
2,0,6,9,6,5.25
2,1,0,0,3,19.0
2,1,0,1,1,0.0
2,1,0,1,2,35.0
2,1,0,1,4,11.0
2,1,0,2,2,9.0
2,1,0,2,4,28.0
2,1,0,3,2,6.0
2,1,0,3,3,10.5
